energy, energy  , all_energy, tempo  , tempo  , all_tempo, danceability, danceability, all_danceability, loudness, loudness, all_loudness, liveness, liveness, all_liveness, valence, valence, all_valence, speechiness, speechiness, all_speechiness, track_popularity, track_popularity, all_track_popularity, instrumentalness, instrumentalness, all_instrumentalness, key, key, all_key, duration_min, acousticness, acousticness, all_acousticness, track_artist                                                                   , track_album_name                                                                    , track_album_release_date, playlist_name         , track_name                                                                                        , source                     , popularity_category, duration_ms, duration_ms
 0.386,         ,   0.386   , 192.004,        ,   192.004,        0.504,             ,           0.504 , -10.976 ,         , -10.976     ,   0.0961,         ,       0.0961,  0.281 ,        ,      0.281 ,      0.0308,            ,                ,               84,                 ,                   84, 1.53E-05        ,                 ,           0.0000153 ,  11,    ,      11,         3.82,     0.502   ,             ,        0.502    , "Taylor Swift, Post Malone                                                    ", THE TORTURED POETS DEPARTMENT                                                       , 4/18/2024               , Today's Top Hits      , Fortnight (feat. Post Malone)                                                                     , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      228965,            
 0.681,         ,   0.681   , 155.079,        ,   155.079,        0.56 ,             ,           0.56  , -6.304  ,         , -6.304      ,   0.106 ,         ,       0.106 ,  0.388 ,        ,      0.388 ,      0.244 ,            ,                ,               89,                 ,                   89, 0               ,                 ,           0         ,   6,    ,       6,         3.72,     0.103   ,             ,        0.103    , "Omar Courtz, De La Rose                                                      ", PRIMERA MUSA                                                                        , 9/20/2024               , Today's Top Hits      , Q U E V A S H A C E R H O Y ?                                                                     , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      223320,            
 0.472,         ,   0.472   , 101.061,        ,   101.061,        0.898,             ,           0.898 , -7.001  ,         , -7.001      ,   0.141 ,         ,       0.141 ,  0.214 ,        ,      0.214 ,      0.0776,            ,                ,               88,                 ,                   88, 0               ,                 ,           0         ,   1,    ,       1,         4.57,     0.0107  ,             ,        0.0107   , Kendrick Lamar                                                                 , Not Like Us                                                                         , 5/4/2024                , Today's Top Hits      , Not Like Us                                                                                       , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      274192,            
 0.711,         ,   0.711   , 146.921,        ,   146.921,        0.487,             ,           0.487 , -4.22   ,         , -4.22       ,   0.152 ,         ,       0.152 ,  0.317 ,        ,      0.317 ,      0.0322,            ,                ,               85,                 ,                   85, 0               ,                 ,           0         ,   8,    ,       8,         2.53,     0.000175,             ,        0.000175 , Jin                                                                            , Happy                                                                               , 11/15/2024              , Today's Top Hits      , Running Wild                                                                                      , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      151647,            
 0.712,         ,   0.712   ,  91.98 ,        ,    91.98 ,        0.848,             ,           0.848 , -3.574  ,         , -3.574      ,   0.106 ,         ,       0.106 ,  0.692 ,        ,      0.692 ,      0.0981,            ,                ,               84,                 ,                   84, 0               ,                 ,           0         ,   1,    ,       1,         4.97,     0.221   ,             ,        0.221    , "KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd ", 57                                                                                  , 11/8/2024               , Today's Top Hits      , 57                                                                                                , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      298131,            
 0.645,         ,   0.645   , 114.933,        ,   114.933,        0.882,             ,           0.882 , -7.233  ,         , -7.233      ,   0.057 ,         ,       0.057 ,  0.788 ,        ,      0.788 ,      0.0601,            ,                ,               87,                 ,                   87, 4.13E-05        ,                 ,           0.0000413 ,   1,    ,       1,         1.74,     0.475   ,             ,        0.475    , Ndotz                                                                          , Embrace It                                                                          , 8/23/2024               , Today's Top Hits      , Embrace It                                                                                        , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      104419,            
 0.872,         ,   0.872   , 184.115,        ,   184.115,        0.466,             ,           0.466 , -3.344  ,         , -3.344      ,   0.121 ,         ,       0.121 ,  0.806 ,        ,      0.806 ,      0.0336,            ,                ,               89,                 ,                   89, 0               ,                 ,           0         ,   7,    ,       7,         3.17,     0.0156  ,             ,        0.0156   , Linkin Park                                                                    , The Emptiness Machine                                                               , 9/5/2024                , Today's Top Hits      , The Emptiness Machine                                                                             , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      190428,            
 0.756,         ,   0.756   , 116.034,        ,   116.034,        0.66 ,             ,           0.66  , -3.743  ,         , -3.743      ,   0.193 ,         ,       0.193 ,  0.838 ,        ,      0.838 ,      0.032 ,            ,                ,               92,                 ,                   92, 0               ,                 ,           0         ,   0,    ,       0,         2.85,     0.00289 ,             ,        0.00289  , Jimin                                                                          , MUSE                                                                                , 7/19/2024               , Today's Top Hits      , Who                                                                                               , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      170888,            
 0.89 ,         ,   0.89    , 133.52 ,        ,   133.52 ,        0.502,             ,           0.502 , -5.175  ,         , -5.175      ,   0.217 ,         ,       0.217 ,  0.259 ,        ,      0.259 ,      0.0364,            ,                ,               83,                 ,                   83, 0.0117          ,                 ,           0.0117    ,   4,    ,       4,         4.88,     0.000147,             ,        0.000147 , AC/DC                                                                          , The Razors Edge                                                                     , 9/24/1990               , Rock Classics         , Thunderstruck                                                                                     , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      292880,            
 0.446,         ,   0.446   , 123.596,        ,   123.596,        0.743,             ,           0.743 , -7.807  ,         , -7.807      ,   0.337 ,         ,       0.337 ,  0.278 ,        ,      0.278 ,      0.0683,            ,                ,               82,                 ,                   82, 0.118           ,                 ,           0.118     ,   4,    ,       4,         3.87,     0.0039  ,             ,        0.0039   , The White Stripes                                                              , Elephant                                                                            , 4/1/2003                , Rock Classics         , Seven Nation Army                                                                                 , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      232107,            
 0.43 ,         ,   0.43    ,  91.844,        ,    91.844,        0.515,             ,           0.515 , -9.935  ,         , -9.935      ,   0.129 ,         ,       0.129 ,  0.104 ,        ,      0.104 ,      0.0372,            ,                ,               86,                 ,                   86, 0.000133        ,                 ,           0.000133  ,   7,    ,       7,         3.98,     0.0097  ,             ,        0.0097   , Radiohead                                                                      , Pablo Honey                                                                         , 2/22/1993               , Rock Classics         , Creep                                                                                             , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      238640,            
 0.952,         ,   0.952   , 125.304,        ,   125.304,        0.445,             ,           0.445 , -5.321  ,         , -5.321      ,   0.112 ,         ,       0.112 ,  0.624 ,        ,      0.624 ,      0.0522,            ,                ,               84,                 ,                   84, 0.0843          ,                 ,           0.0843    ,   6,    ,       6,         5.93,     0.09    ,             ,        0.09     , Guns N' Roses                                                                  , Appetite For Destruction                                                            , 7/21/1987               , Rock Classics         , Sweet Child O' Mine                                                                               , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      356067,            
 0.492,         ,   0.492   , 120.151,        ,   120.151,        0.828,             ,           0.828 , -9.744  ,         , -9.744      ,   0.128 ,         ,       0.128 ,  0.789 ,        ,      0.789 ,      0.0276,            ,                ,               84,                 ,                   84, 0.00428         ,                 ,           0.00428   ,   0,    ,       0,         4.3 ,     0.0644  ,             ,        0.0644   , Fleetwood Mac                                                                  , Rumours (Super Deluxe)                                                              , 2/4/1977                , Rock Classics         , Dreams - 2004 Remaster                                                                            , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      257800,            
 0.345,         ,   0.345   ,  84.581,        ,    84.581,        0.559,             ,           0.559 , -13.496 ,         , -13.496     ,   0.141 ,         ,       0.141 ,  0.458 ,        ,      0.458 ,      0.0459,            ,                ,               82,                 ,                   82, 0.000105        ,                 ,           0.000105  ,   4,    ,       4,         4.41,     0.0576  ,             ,        0.0576   , Red Hot Chili Peppers                                                          , Blood Sugar Sex Magik (Deluxe Edition)                                              , 9/24/1991               , Rock Classics         , Under the Bridge                                                                                  , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      264307,            
 0.697,         ,   0.697   , 116.109,        ,   116.109,        0.741,             ,           0.741 , -7.028  ,         , -7.028      ,   0.133 ,         ,       0.133 ,  0.774 ,        ,      0.774 ,      0.0277,            ,                ,               84,                 ,                   84, 2.28E-05        ,                 ,           0.0000228 ,   0,    ,       0,         2.67,     0.0664  ,             ,        0.0664   , Creedence Clearwater Revival                                                   , Pendulum (Expanded Edition)                                                         , 12/7/1970               , Rock Classics         , Have You Ever Seen The Rain                                                                       , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      160133,            
 0.7  ,         ,   0.7     , 188.386,        ,   188.386,        0.31 ,             ,           0.31  , -5.678  ,         , -5.678      ,   0.0828,         ,       0.0828,  0.763 ,        ,      0.763 ,      0.047 ,            ,                ,               83,                 ,                   83, 0.00965         ,                 ,           0.00965   ,   9,    ,       9,         4.26,     0.011   ,             ,        0.011    , AC/DC                                                                          , Back In Black                                                                       , 7/25/1980               , Rock Classics         , Back In Black                                                                                     , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      255493,            
